ID,NOMBRE,URL
1,FLOWERS - MILEY CYRUS,https://www.youtube.com/embed/G7KNmW9a75Y?si=CuBYJo7eegyr283C&amp;clip=Ugkx36Tda0T2ML9Oiiirk1g5gZ7k0RWYJRIz&amp;clipt=EN-gAhj2swM
2,CON ALTURA - ROSALIA,https://www.youtube.com/embed/p7bfOZek9t4?si=XzxoaZ9yL-QyCPOH&amp;clip=UgkxPcqGt8oBlg1SQLvFwWL8ZycuhkZr3sR9&amp;clipt=ENKfAhjjvAM
3,POTRA SALVAJE - ISABEL AAIUN,https://www.youtube.com/embed/z17a78mg95c?si=ydMTPaL9o5d-3vMp&amp;clip=Ugkx7wZ1oDvy1Fn2IXFlIzTEVa4bfUYIsxMO&amp;clipt=EOuMAxipnwQ
4,NOCHENTERA - VICCO,https://www.youtube.com/embed/1j_dSNUGU-U?si=7QHmoYki7ekN9pJs&amp;clip=Ugkx_HMi5yefhtiPJSRVQveJkqVp438hqmgg&amp;clipt=EAAYvZIB
5,ZORRA - NEBULOSA,https://www.youtube.com/embed/GdagS_0hX8k?si=jcogpq6TgI5Nx7Xy&amp;clip=UgkxZb6_DuYbELrD5ZVoMpyZ2IyCUIEL2mlI&amp;clipt=EP2cAhi4vwM
6,MI AMOR - AITANA,https://www.youtube.com/embed/TC6pGc895yY?si=TwNfhyRuCOyhp4-6&amp;clip=Ugkx7I4ANH2X0oUuuZgNYxkQ5KsSl7d1RngZ&amp;clipt=EPU_GIrFAQ
7,DESPECHA - ROSALIA,https://www.youtube.com/embed/5g2hT4GmAGU?si=g_p5zv9Wl_nPUtso&amp;clip=UgkxEKHTRsX1rM0I-zmQV7m8jyU_eocpHnUx&amp;clipt=EMw6GOWnAQ
8,SLOMO - CHANEL,https://www.youtube.com/embed/Dwyefl6itpI?si=rzPlF9dEChNK82E3&amp;clip=UgkxvmMn_x0SjBqAc_OwHkJ-yqqSxLX7YFZz&amp;clipt=EOG_ARj4tAI
9,AY MAMA - RIGOBERTA BADINI,https://www.youtube.com/embed/-z9qeALR7j0?si=tuuENFqV_yesKkGe&amp;clip=UgkxA0-3SyoeqG3v4xUiGFgysHMCmSvFy0OU&amp;clipt=EKyACRjrigo
10,QUEDATE - QUEVEDO,https://www.youtube.com/embed/A_g3lMcWVy0?si=wCGaGVmnR7PSvJTx&amp;clip=Ugkx-Uiu-GFO9ss3y7QO8go-1ylINYtCJ6MF&amp;clipt=EMRqGIL9AQ
11,SI ANTES HUBIERA CONOCIDO - KAROLG,https://www.youtube.com/embed/MgsdDfdGdHc?si=GGqIvqtnpvzytOjg&amp;clip=UgkxG20AGCX9ZpvapwOuuxfH7OGe1cnk_OGh&amp;clipt=EP7vBRi4mgc
12,LA SEVILLANA - OMAR MONTES,https://www.youtube.com/embed/GJVtHm7VfRg?si=ULSQ1J3eVYNQeDik&amp;clip=UgkxdwNSXOoDboX4jJd6XmPmlfNDeywx8TQC&amp;clipt=EPHkAhja9AM
13,LA FALDA - MYKE TOWERS,https://www.youtube.com/embed/pyZtr3_dN3E?si=uVSTxheEM2rGvNEK&amp;clip=UgkxtfXSyVF_cKd95F5I11JLbZ5mLctVC6eu&amp;clipt=EMvHAhi01wM
14,LA REINA - LOLA INDIGO,https://www.youtube.com/embed/g_GB6ADqjOU?si=lgLYBSIEtQcUptyv&amp;clip=UgkxVaKCAC8qs7ESZKJ2J2Jf9wnK7XbOi855&amp;clipt=EPgvGLmqAQ
15,MADRID CITY - ANA MENA,https://www.youtube.com/embed/sh2lLZBnrfA?si=JwartOMzwpqwckgM&amp;clip=UgkxJfg0P2SRBmfio0wVfq0TjSkBrpNm8ylQ&amp;clipt=EMvHAhjf1AM
16,CARITA TRISTE - ANA MENA Y EMILIA,https://www.youtube.com/embed/IB0zAEw4gZM?si=TZp9kO2ZBs-VNLyA&amp;clip=UgkxIbjHE8hcjULfZOeFMacjT2PzkFDNLClA&amp;clipt=EKqKAhi7pwM
17,NUESTRA CANCION - ALVARO DE LUNA,https://www.youtube.com/embed/RcrMowQ2J0g?si=c_JN2iYgVdmnHtXE&amp;clip=UgkxrH9qqboHrN2IW4W9j7RAb3YuAxAB5jB6&amp;clipt=EKO6Ahi1zwM
18,MIL COSAS - LOLA INDIGO Y TURIZO,https://www.youtube.com/embed/QdCTs5HZfhU?si=mr5Wj2kdwGuAsqJ0&amp;clip=Ugkx1StPaw6vjgg5W3Le5w0wMj7dC1RYTiWg&amp;clipt=ELuiARiB_QE
19,TODO CAMBIA - DANI FERNANDEZ,https://www.youtube.com/embed/7v8dn8AUxUY?si=vDSqQh3mCOD5NHnT&amp;clip=UgkxdFm79x7-c8_Nu-bvHDCmzh6KYVTyJTq0&amp;clipt=EIL9ARjG5wI
20,LA ORIGINAL - TINI Y EMILIA,https://www.youtube.com/embed/rIcZ6X0jIl4?si=8C4SPl_I2MNJiMGs&amp;clip=UgkxgifJVssz6N3ZEAfD-tCiPL24s3LA-OLT&amp;clipt=EOyEAxinpwQ
21,VAGABUNDO - SEBASTIAN YATRA,https://www.youtube.com/embed/0J1hIERZ1yA?si=sTCnciDBN9lYnqp4&amp;clip=UgkxKZTN-h_Lb0X30RIdLZ73j6z2x9ESMi8v&amp;clipt=EAAYkpUB
22,VIDA DE RICO - CAMILO,https://www.youtube.com/embed/qKp1f7Vn9dM?si=ExPCgldO18a30uir&amp;clip=UgkxnpAom9BoQJ9Nvo4Dh3zQxhBq5l3XO8bN&amp;clipt=EP-MAhi_jwM
